CATEGORY	BIBTEXKEY	author	title	year	(title_translation)	publisher	address	pages	booktitle	(booktitle_translation)	editor	journal	volume	number	school	note	url	howpublished	contributor	date_added	comment	correction_notes	checked
phdthesis	gadzhieva2007	Gadžieva, Marʹjam Zubajrovna	Fonetičeskie i morfologičeskie osobennosti tukitinskogo dialekta karatinskogo jazyka	2007											Dagestanskij gosudarstvennyj pedagogičeskij universitet				Samira Verhees				Y
unpublished	gadzhimagomedov2019	Gadžimagomedov, M. Z.	Ančixskij jazyk	2019	Anchiq											manuscript			Chiara Naccarato	17.12.2021		author name	Y
incollection	ganenkov2008	Ganenkov, Dmitrij S.	Morfologičeskaja i semantičeskaja xarakteristika padežej udinskogo jazyka	2008	Morphological and semantic characteristics of Udi	Akademija	Moskva	11--53	Udinskij sbornik: grammatika, leksika, istorija jazyka	Udi. Grammar. Lexicon. History of the language	Alekseev, Mixail E. i Majsak, Timur A. i Ganenkov, Dmitrij S. i Lander, Jurij A.												Y
article	ganenkovetal2009	Ganenkov, Dmitrij S. i Majsak, Timur A. i Merdanova, Solmaz R.	Diskursivnaja anafora v agulʹskom jazyke	2009		Institut jazykoznanija RAN	Moskva												Timofey Mukhin		article?	INCOMPLETE	Y
book	ganieva2002	Ganieva, Faida A.	Xinalugsko-russkij slovarʹ	2002	Khinalug-Russian dictionary	DNC RAN	Maxačkala												Anastasia Panova	30.08.2021			Y
book	gasanova1971	Gasanova, Saida M.	Očerki darginskoj dialektologii	1971	Essays on Dargwa dialectology	Institut istorii, jazyka i literatury im. G. Cadasy	Maxačkala												Anastasia Panova	30.08.2021			Y
book	gaydarovetal2009	Gajdarov, R. I. i Gjulʹmagomedov, A. G. i Mejlanov, U. A. i Talibov, B. B.	Sovremennyj lezginskij jazyk	2009	Modern Lezgian	Dagestanskij naučnyj centr Rossijskoj akademii nauk Institut jazyka, literatury i iskusstva im. Gamzata Cadasy	Maxačkala												George Moroz	06.08.2021	NOT IN THE FOLDER		Y
book	gimbatov2006	Gimbatov, M. M.	Avarsko-russkij slovarʹ	2006	Avar-Russian dictionary	DNC RAN	Maxačkala												Anastasia Panova			author name	Y
book	griunberg1963	Grjunberg, Aleksandr L.	Jazyk severoazerbajdžanskix tatov	1963	The language of the Northern Azerbaijani Tats	Izdatelʹstvo akademii nauk SSSR	Leningrad												Aigul Zakirova	21.09.21			Y
book	gudava1962	Gudava, Togo E.	Botlixuri ena	1962	The Botlikh language	Mecniereba	Tbilisi																Y
incollection	gudava1967	Gudava, Togo E.	Botlixskij jazyk	1967	Botlikh	Nauka	Moskva 	293--306	Jazyki narodov SSSR. Tom 4. Iberijsko-kavkazskie jazyki	Languages of the peoples of USSR. Volume 4. Ibero-caucasian languages	Bokarev, Evgenij A. i Lomatidze Ketevan								Chiara Naccarato	05.02.2021			Y
book	gukasyan1974	Gukasjan, Vorošil	Udinsko-azerbajdžansko-russkij slovarʹ	1974	Udi-Azerbaijani-Russian dictionary	Èlm	Baku												George Moroz	29.04.2021			Y
book	harris2002	Harris, Alice C.	Endoclitics and the origins of Udi morphosyntax	2002		Oxford University Press	Oxford												Chiara Naccarato	19.08.2021	NOT IN THE FOLDER		Y
book	haspelmath1993	Haspelmath, Martin	A grammar of Lezgian	1993		Mouton de Gruyter	Berlin/New York																Y
incollection	haspelmath1996	Haspelmath, Martin	Complement clauses	1996		Lincom Europa	Munich/Newcastle	174--196	Godoberi		Kibrik, Alexandr E. and Tatevosov, Sergej G. and Eulenberg, Alexander												Y
book	hewitt1995	Hewitt, George	Georgian. A Structural Reference Grammar	1995		School of Oriental and African Studies, University of London	London					London Oriental and African Language Library	2		University of London				Polina Smyr	30.08.2021			Y
book	hewitt2005	Hewitt, George	Georgian. A Learner's Grammar	2005		Routledge	London/New York												Chiara Naccarato				Y
incollection	holiskygagua1994	Holisky, Dee Ann and Gagua, Rusudan	Tsova-Tush (Batsbi)	1994		Caravan Books	Delmar NY	147--212	The indigenous languages of the Caucasus. Volume 4. Part 2		Smeets, Riek								Samira Verhees	28.01.2021			Y
book	ibragimov1978	Ibragimov, Garun X.	Rutulʹskij jazyk	1978	Rutul	Akademija Nauk SSSR	Moskva												Chiara Naccarato	19.08.2021	NOT IN THE FOLDER		Y
book	ibragimov1990	Ibragimov, Garun X.	Caxurskij jazyk	1990	Tsakhur language	Nauka	Moskva												George Moroz	28.04.2021			Y
book	ibragimov2004	Ibragimov, Garun X.	Rutulʹskij jazyk	2004	Rutul	Narody Dagestana	Maxačkala																Y
book	ibragimovnurmamedov2010	Ibragimov, Garun X. i Nurmamedov, Junus M.	Caxursko-russkij slovarʹ	2010	Tsakhur-Russian dictionary	Dagestanskij Gosudarstvennyj Pedagogičeskij Universitet	Maxačkala												Samira Verhees	31.01.2021			Y
book	isaev2001	Isaev, Mamoged-Šapi A. 	Russko-darginskij slovarʹ	2001	Russian-Dargwa dictionary	Institut istorii, jazyka i literatury im. G. Cadasy	Maxačkala												Anastasia Panova	30.08.2021			Y
book	isakovxalilov2001	Isakov, Isak A. i Xalilov, Madžid Š.	Gunzibsko-russkij slovarʹ	2001	Hunzib-Russian dictionary	DNC RAN Institut jazyka, literatury i iskusstva im. G. Cadasy i Institut èvoljucionnoj antropologii im. M. Planka	Maxačkala												Chiara Naccarato	31.01.2021			Y
book	isakovxalilov2012	Isakov, Isak A. i Xalilov, Madžid Š.	Gunzibskij jazyk (Fonetika. Morfologija. Slovoobrazovanie. Leksika. Teksty)	2012	Hunzib (Phonetics, Morphology, Word-Formation, Lexicon, Texts)	Institut istorii, jazyka i literatury im. G. Cadasy	Maxačkala												Anastasia Panova	30.08.2021	NOT IN THE FOLDER		Y
book	ismailova2011	Ismailova, Èminat I.	Russko-rutulʹskij slovarʹ	2011	Russian-Rutul dictionary	DNC RAN Institut jazyka, literatury i iskusstva im. G. Cadasy i Institut èvoljucionnoj antropologii im. M. Planka	Maxačkala												Chiara Naccarato	31.01.2021			Y
book	jakovlev1960	Jakovlev, Nikolaj F.	Morfologija čečenskogo jazyka	1960	Chechen morphology	Izdatelʹstvo Akademii nauk SSSR	Groznyj																Y
incollection	johanson2018	Johanson, Lars	Turkic indirectivity	2018		Oxford University Press	Oxford	510--524	The Oxford Handbook of Evidentiality		Aikhenvald, Alexandra Y.												Y
incollection	kalinina1999	Kalinina, Elena Ju.	Predloženija s imennym skazuemym	1999	Clause with a nominal subject	Moskva	Nasledie	420--448	Èlementy caxurskogo jazyka v tipologičeskom osveščenii	Elements of Tsakhur grammar in a typological perspective	Kibrik, Aleksandr E.								Chiara Naccarato	05.11.2021			Y
book	kalmykovasarueva1973	Kalmykova, Sofʹja A. i Sarueva, Marija F.	Grammatika nogajskogo jazyka	1973	Nogai grammar	Stavropolʹskoe knižnoe izdatelʹstvo	Čerkessk												Samira Verhees	28.01.2021			Y
book	kankava2001	Kankava,Mixail V.	Gruzinsko-russkij slovarʹ	2001	Georgian-Russian dictionary	Sakartvelos macie	Tbilisi												Polina Smyr	30.08.2021			Y
book	karasaevmaciev1978	Karasaev, Ajsaš T. i Maciev, Axmet G.	Russko-čečenskij slovarʹ	1978	Russian-Chechen dictionary	Russkij jazyk	Moskva												Chiara Naccarato	05.02.2021			Y
unpublished	kayeetaldraft2020	Kaye, Stephen and Martynova, Aleksandra, and Moroz, George and Rochant, Neige and Verhees, Samira and Zakirova, Aigul	A sketch of Andi (Zilo dialect)	2020		De Gruyter Mouton	Berlin/New York		The Caucasian Languages. An International Handbook		Koryakov, Yuri and Maisak, Timur								Samira Verhees				Y
misc	kasplingua	NA	KaspLingua	2016												Accessed: 2021-12-17		\url{https://kasplingua.ru/speaks/%d1%80%d0%b0%d0%b7%d0%b3%d0%be%d0%b2%d0%be%d1%80%d0%bd%d1%8b%d0%b5-%d1%84%d1%80%d0%b0%d0%b7%d1%8b-%d0%bd%d0%b0-%d0%bb%d0%b0%d0%ba%d1%81%d0%ba%d0%be%d0%bc-%d1%8f%d0%b7%d1%8b%d0%ba%d0%b5/}	Chiara Naccarato	17.12.2021		author?	Y
book	kazenin2013	Kazenin, Konstantin I.	Sintaksis sovremennogo lakskogo jazyka	2013	Syntax of contemporary Lak	IJaLI	Maxačkala																Y
book	kerimov1985	Kerimov, Kerim R.	Glagol xinalugskogo jazyka	1985	Verbs of Khinalug	Institut istorii, jazyka i literatury im. G. Cadasy	Maxačkala																Y
book	khajdakov1962	Xajdakov, Said M.	Laksko-russkij slovarʹ	1962	Lak-Russian dictionary	Gosudarstvennoe izdatelʹstvo inostrannyx i nacionalʹnyx slovarej	Moskva												Samira Verhees		Editor L.I.Žirkov, but I think it is usually attributed to the compiler only.		Y
book	khajdakov1966	Xajdakov, Said M.	Očerki po lakskoj dialektologii	1966	Sketches of Lak dialectology	Nauka	Moskva												Chiara Naccarato	19.08.2021	NOT IN THE FOLDER		Y
phdthesis	khalilova2009	Khalilova, Zaira	A grammar of Khwarshi	2009											University of Leiden								Y
article	khalilova2011	Khalilova, Zaira	Evidentiality in Tsezic languages	2011				30--48				Linguistic Discovery	9	2									Y
book	kibrik1977	Kibrik, Aleksandr E.	Opyt strukturnogo opisanija arčinskogo jazyka. Tom II. Taksonomičeskaja grammatika	1977	Structural description of Archi. Volume II. Taxonomic grammar	Izdatelʹstvo Akademii nauk SSSR	Moskva																Y
book	kibrik1977dict	Kibrik, Aleksandr E.	Arčinskij jazyk. Teksty i slovari	1977	Archi. Texts and dictionaries	Izdatelʹstvo Akademii nauk SSSR	Moskva												Chiara Naccarato	02.02.2021			Y
book	kibrik1977dynamic	Kibrik, Aleksandr E.	Opyt strukturnogo opisanija arčinskogo jazyka. Tom III. Dinamičeskaja grammatika	1977	Structural description of Archi. Volume III. Dynamic grammar	Izdatelʹstvo Akademii nauk SSSR	Moskva												Chiara Naccarato	02.02.2021			Y
book	kibrik1977vocphon	Kibrik, Aleksandr E. i Kodzasov, Sandro V. i Olovjannikova Irina P. i Samedov D. S.	Opyt strukturnogo opisanija arčinskogo jazyka. Tom I. Leksika i fonetika	1977	Structural description of Archi. Volume I. Vocabulary and phonetics	Izdatelʹstvo Moskovskogo universiteta	Moskva												Maksim Melenchenko	11.08.2021		author name	Y
incollection	kibrik1985	Kibrik, Andrej A.	Absentiv-aorist und resultativ in der andischen Sprache	1985		Friedrich Schiller Universität	Jena	55--66	Sprachen Europas und Asiens		Fähnrich, Heinz								Samira Verhees	13.10.2021			Y
incollection	kibrik1994a	Kibrik, Aleksandr E.	Archi	1994		Caravan Press	Delmar, NY	297--365	The Indigenous Languages of the Caucasus. Vol. 4: The Northeast Caucasian Languages. Part 2		Smeets, Rieks								Chiara Naccarato	19.08.2021	NOT IN THE FOLDER		Y
incollection	kibrik1994b	Kibrik, Aleksandr E.	Khinalug	1994		Caravan Press	Delmar, NY	367--406	The Indigenous Languages of the Caucasus. Vol. 4: The Northeast Caucasian Languages. Part 2		Smeets, Rieks								Chiara Naccarato	19.08.2021	NOT IN THE FOLDER		Y
book	kibrik1999	Kibrik, Aleksandr E.	Èlementy caxurskogo jazyka v tipologičeskom osveščenii	1999	Elements of Tsakhur grammar in a typological perspective	Moskva	Nasledie												Samira Verhees	28.01.2021			Y
incollection	kibrik1999sem	Kibrik, Aleksandr E.	Semantičeskaja èrgativnostʹ	1999	Semantic ergativity	Moskva	Nasledie	347--353	Èlementy caxurskogo jazyka v tipologičeskom osveščenii	Elements of Tsakhur grammar in a typological perspective	Kibrik, Aleksandr E.								Chiara Naccarato	05.11.2021			Y
book	kibrik2001	Kibrik, Aleksandr E. i Kazenin, Konstantin I. i Ljutikova, Ekaterina A. i Tatevosov, Sergej G.	Bagvalinskij jazyk. Grammatika, teksty, slovari	2001	The Bagvalal language. Grammar, texts, dictionary	Nasledie	Moskva																Y
book	kibriketal1972	Kibrik, Aleksandr E. i Kodzasov, Sandro V. i Olovjannikova, Irina P.	Fragmenty grammatiki xinalugskogo jazyka	1972	Fragments of Khinalug grammar	Izdatelʹstvo Akademii nauk SSSR	Moskva																Y
book	kibriketal1996	Kibrik, Alexandr and Tatevosov, Sergej and Eulenberg, Alexander	Godoberi	1996		Lincom Europa	Munich/Newcastle																Y
chapter	tatevosov1996	Tatevosov, Sergej	Attributives	1996		Lincom Europa	Munich/Newcastle	20—35	Godoberi														
book	kibrikkodzasov1990	Kibrik, Aleksandr E. i Kodzasov, Sandro V.  	Sopostavitelʹnoe izučenie dagestanskix jazykov. Imja. Fonetika	1990	A comparative study of Daghestanian languages. Noun. Phonetics	Izdatelʹstvo Akademii nauk SSSR	Moskva																Y
incollection	kozhukhar2019	Kozhukhar, Aleksandra	The self-pronoun in Mehweb	2019		Language Science Press	Berlin	271--293	The Mehweb language. Essays on phonology, morphology and syntax		Daniel, Michael and Dobrushina, Nina and Ganenkov, Dmitry								Chiara Naccarato	08.02.2021			Y
incollection	kozintseva2000	Kozintseva, Natalia A.	Perfect forms as a means of expressing evidentiality in Modern Eastern Armenian	2000		Mouton de Gruyter	Berlin/New York	401--418	Evidentials. Turkic, Iranian and neighbouring languages		Johanson, Lars and Utas, Bo								Samira Verhees				Y
misc	kumyktil	NA	Kʺumukʺ til	2021												Accessed: 2021-12-17		\url{https://kumykskij-jazyk.rf/ru/slovar}	Chiara Naccarato	17.12.2021		author?	Y
book	maciev1961	Maciev, Axmet G.	Čečensko-russkij slovarʹ	1961	Chechen-Russian dictionary	Gosudarstvennoe izdatelʹstvo inostrannyx i nacionalʹnyx slovarej	Moskva												Anastasia Panova	30.08.2021			Y
book	madieva1965	Madieva, Gjulʹšaxan I.	Grammatičeskij očerk bežtinskogo jazyka	1965	Grammatical profile of Bezhta	DGU	Maxačkala																Y
book	magomedbekova1967	Magomedbekova, Zagidat M.	Axvaxskij jazyk	1967	Akhvakh	Mecniereba	Tbilisi																Y
book	magomedbekova1971	Magomedbekova, Zagidat M.	Karatinskij jazyk	1971	Karata 	Mecniereba	Tbilisi																Y
incollection	magomedbekova1998	Magomedbekova, Zagidat M.	Tindinskij jazyk	1998	Tindi	Academia	Moskva	25--32	Jazyki mira. Kavkazskie jazyki	Languages of the world. Caucasian languages	Alekseev, Mixail E. i dr.								Chiara Naccarato	19.08.2021			Y
incollection	magomedbekova2001	Magomedbekova, Zagidat M.	Botlixskij jazyk	2001	Botlikh	Academia	Moskva	228--236	Jazyki mira. Kavkazskie jazyki	Languages of the world. Caucasian languages	Alekseev, Mixail E. i dr.								Chiara Naccarato	05.02.2021			Y
book	magomedova1999	Magomedova, Patimat T.	Čamalinsko-russkij slovarʹ	1999	Chamalal-Russian dictionary	IJaLI	Maxačkala																Y
book	magomedova2003	Magomedova, Patimat T.	Tindinsko-russkij slovarʹ	2003	Tindi-Russian dictionary	IJaLI	Maxačkala																Y
book	magomedova2004	Magomedova, Patimat T.	Bagvalinsko-russkij slovarʹ	2004	Bagvalal-Russian dictionary	IJaLI	Maxačkala																Y
book	magomedova2012	Magomedova, Patimat T.	Tindinskij jazyk	2012	Tindi	IJaLI	Maxačkala																Y
book	magomedovaabdulaeva2007	Magomedova, Patimat T. i Abdulaeva, Indira A.	Axvaxsko-russkij slovarʹ	2007	Akhvakh-Russian dictionary	IJaLI	Maxačkala												Samira Verhees				Y
book	magomedovaxalidova2001	Magomedova, Patimat T. i Xalidova, Rašidat Š.	Karatinsko-russkij slovarʹ	2001	Karata-Russian dictionary	IJaLI	Maxačkala																Y
book 	magomedovsaidovakutta2017	Magomedov, Amirbek D., Saidov-Akutta Nabigulla I.	Kubačinsko-russkij slovarʹ	2017	Kubachi-Russian dictionary	Nauka	Sankt-Peterburg												Polina Smyr	24.08.2021			Y
book	magometov1963	Magometov, Aleksandr A.	Kubačinskij jazyk	1963	Kubachi	Akademija Nauk Gruzinskoj SSR	Tbilisi																Y
book	magometov1965	Magometov, Aleksandr A.	Tabasaranskij jazyk: issledovanie i teksty	1965	Tabasaran: research and texts	Mecniereba	Tbilisi																Y
book	magometov1970	Magometov, Aleksandr A.	Agulʹskij jazyk	1970	Agul	Mecniereba	Tbilisi																Y
book	magometov1982	Magometov, Aleksandr A.	Megebskij dialekt darginskogo jazyka: issledovanie i teksty	1982	Mehweb dialect of Dargwa: research and texts	Mecniereba	Tbilisi												Polina Nasledskova				Y
misc	maisak2006	Majsak, Timur A.	Kratkij russko-udinskij razgovornik (Nidžskij dialekt) 	2006	Short Udi phrasebook (Nizh dialect)											Accessed: 2021-12-17		\url{http://udilang.narod.ru/texts/Udirazgovornik.pdf}	Chiara Naccarato	17.12.2021			Y
incollection	maisak2008	Majsak, Timur A.	Glagolʹnaja paradigma udinskogo jazyka (Nidžskij dialekt)	2008	Verb paradigm in Udi (Nizh dialect)	Akademija	Moskva	96--161	Udinskij sbornik: grammatika, leksika, istorija jazyka	Udi. Grammar. Lexicon. History of the language	Alekseev, Mixail E. i Majsak, Timur A. i Ganenkov, Dmitrij S. i Lander, Jurij A.												
book	maisak2014	Majsak, Timur A.	Agulʹskie teksty 1900-1960-x godov.	2014	Agul texts of the 1900-1960s	Academia	Moskva												Corrected (Chiara Naccarato)	01.02.2021			Y
incollection	maisak2016	Majsak, Timur A.	Perfekt i aorist v nidžskom dialekte udinskogo jazyka	2016	Perfect and aorist in the Nizh dialect of Udi	Nauka	Sankt-Peterburg	315--378	Tipologija perfekta		Majsak, Timur A. i Plungjan, Vladimir A. i Semёnova, Ksenija P.												Y
unpublished	maisak2016andi	Majsak, Timur A.	Glagolʹnaja sistema rikvaninskogo govora andijskogo jazyka: formoobrazovanie	2016	The verbal system of the Rikvani dialect of Andi: inflection	Handout													Samira Verhees				Y
unpublished	maisak2017	Maisak, Timur	Tense and aspect among the factors conditioning the distribution of quotatives: data from Andi	2017												12th Conference of the Association for Linguistic Typology (ALT) Workshop ``Reported speech as a syntactic domain'' Canberra, 15 December 2017. Hand-out							Y
incollection	maisak2018	Maisak, Timur	The Aorist/Perfect distinction in Nizh Udi	2018		Brill	Leiden	120--165	The semantics of verbal categories in Nakh-Daghestanian languages		Forker, Diana and Maisak, Timur												Y
misc	maisak2020	Maisak, Timur	Affixal, phrasal and clausal caritives in Nakh-Daghestanian	2020															Anastasia Panova	30.08.2021	this is a conference abstract		Y
incollection	maisak2021	Maisak, Timur	Structural and functional variations of the perfect in Lezgic languages	2021		John Benjamins	Amsterdam	88--115	The perfect volume		Eide, Kristin Melum and Fryd, Marc								Samira Verhees		NOT IN THE FOLDER		Y
incollection	maisakchumakina2001	Majsak, Timur A. i Čumakina, Marina È.	Diskursivnye časticy	2001	Discursive particles	Nasledie	Moskva	702--723	Bagvalinskij jazyk. Grammatika, teksty, slovari	The Bagvalal language. Grammar, texts, dictionaries	Kibrik, Aleksandr E. i Ljutikova, Ekaterina A. i Tatevosov, Sergej G.												Y
incollection	maisakganenkov2016	Maisak, Timur and Ganenkov, Dmitry 	Aghul	2016		De Gruyter Mouton	Berlin/Boston	3579--3594	Word-Formation. An International Handbook of the Languages of Europe. Volume 5		Müller, Peter O. and Ohnheiser, Ingeborg and Olsen, Susan and Rainer, Franz												Y
